#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000013285.1	Clostridium perfringens ATCC 13124
GCF_000013325.1	Novosphingobium aromaticivorans DSM 12444
GCF_000013345.1	Frankia casuarinae
GCF_000013405.1	Syntrophus aciditrophicus SB
GCF_000013445.1	Methanospirillum hungatei JF-1
GCF_000013605.1	Rhodoferax ferrireducens T118
GCF_000013645.1	Paraburkholderia xenovorans LB400
GCF_000013665.1	Saccharophagus degradans 2-40
GCF_000013705.1	Methylobacillus flagellatus KT
GCF_000013725.1	Methanococcoides burtonii DSM 6242
GCF_000013765.1	Shewanella denitrificans OS217
GCF_000013785.1	Pseudomonas stutzeri A1501
GCF_000013885.1	Nitrobacter hamburgensis X14
GCF_000013925.1	Mycobacterium ulcerans Agy99
GCF_000013985.1	Sphingopyxis alaskensis RB2256
GCF_000014005.1	Candidatus Koribacter versatilis Ellin345
GCF_000014145.1	Cytophaga hutchinsonii ATCC 33406
GCF_000014185.1	Rubrobacter xylanophilus DSM 9941
GCF_000014225.1	Pseudoalteromonas atlantica T6c
GCF_000014265.1	Trichodesmium erythraeum IMS101
GCF_000014285.2	Granulibacter bethesdensis CGDNIH1
GCF_000014385.1	Oenococcus oeni PSU-1
GCF_000014565.1	Rhodococcus jostii RHA1
GCF_000014705.1	Shewanella frigidimarina NCIMB 400
GCF_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
GCF_000014745.1	Maricaulis maris MCS10
GCF_000014785.1	Alkalilimnicola ehrlichii MLHE-1
GCF_000014865.1	Magnetococcus marinus MC-1
GCF_000014885.1	Shewanella piezotolerans WP3
GCF_000014905.1	Candidatus Solibacter usitatus Ellin6076
GCF_000014925.1	Paenarthrobacter aurescens TC1
GCF_000014945.1	Methanothrix thermoacetophila PT
GCF_000014965.1	Syntrophobacter fumaroxidans MPOB
GCF_000015005.1	Mycolicibacterium smegmatis MC2 155
GCF_000015025.1	Acidothermus cellulolyticus 11B
GCF_000015045.1	Pelobacter propionicus DSM 2379
GCF_000015105.1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
GCF_000015125.1	Chlorobium phaeobacteroides DSM 266
GCF_000015145.1	Hyperthermus butylicus DSM 5456
GCF_000015205.1	Pyrobaculum islandicum DSM 4184
GCF_000015225.1	Thermofilum pendens Hrk 5
GCF_000015245.1	Shewanella amazonensis SB2B
GCF_000015285.1	Psychromonas ingrahamii 37
GCF_000015305.1	Mycolicibacterium vanbaalenii PYR-1
GCF_000015345.1	Dichelobacter nodosus VCS1703A
GCF_000015505.1	Polaromonas naphthalenivorans CJ2
GCF_000015565.1	Verminephrobacter eiseniae EF01-2
GCF_000015585.1	Halorhodospira halophila SL1
GCF_000015725.1	Methylibium petroleiphilum PM1
GCF_000015765.1	Methanocorpusculum labreanum Z
GCF_000015805.1	Pyrobaculum calidifontis JCM 11548
GCF_000015825.1	Methanoculleus marisnigri JR1
GCF_000015865.1	Hungateiclostridium thermocellum ATCC 27405
GCF_000015945.1	Staphylothermus marinus F1
GCF_000016065.1	Shewanella loihica PV-4
GCF_000016165.1	Desulfotomaculum reducens MI-1
GCF_000016185.1	Rhodospirillum centenum SW
GCF_000016345.1	Polynucleobacter asymbioticus QLW-P1DMWA-1
GCF_000016385.1	Pyrobaculum arsenaticum DSM 13514
GCF_000016545.1	Caldicellulosiruptor saccharolyticus DSM 8903
GCF_000016605.1	Metallosphaera sedula DSM 5348
GCF_000016625.1	Rickettsia massiliae MTU5
GCF_000016645.1	Flavobacterium johnsoniae UW101
GCF_000016725.1	Acidiphilium cryptum JF-5
GCF_000016745.1	Geobacter uraniireducens Rf4
GCF_000016765.1	Sphingomonas wittichii RW1
GCF_000016785.1	Thermotoga petrophila RKU-1
GCF_000016825.1	Limosilactobacillus reuteri DSM 20016
GCF_000016985.1	Alkaliphilus metalliredigens QYMF
GCF_000017165.1	Methanococcus vannielii SB
GCF_000017185.1	Methanococcus aeolicus Nankai-3
GCF_000017245.1	Actinobacillus succinogenes 130Z
GCF_000017265.1	Phenylobacterium zucineum HLK1
GCF_000017305.1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149
GCF_000017405.1	Ochrobactrum anthropi ATCC 49188
GCF_000017545.1	Fervidobacterium nodosum Rt17-B1
GCF_000017565.1	Parvibaculum lavamentivorans DS-1
GCF_000017585.1	Campylobacter hominis ATCC BAA-381
GCF_000017605.1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'
GCF_000017625.1	Methanoregula boonei 6A8
GCF_000017645.1	Xanthobacter autotrophicus Py2
GCF_000017805.1	Roseiflexus castenholzii DSM 13941
GCF_000017845.1	Crocosphaera subtropica ATCC 51142
GCF_000017865.1	Pseudothermotoga lettingae TMO
GCF_000017945.1	Ignicoccus hospitalis KIN4/I
GCF_000018025.1	Shewanella sediminis HAW-EB3
GCF_000018105.1	Acaryochloris marina MBIC11017
GCF_000018145.1	Dinoroseobacter shibae DFL 12 = DSM 16493
GCF_000018205.1	Rickettsia akari str. Hartford
GCF_000018265.1	Salinispora arenicola CNS-205
GCF_000018285.1	Shewanella pealeana ATCC 700345
GCF_000018305.1	Caldivirga maquilingensis IC-167
GCF_000018325.1	Alkaliphilus oremlandii OhILAs
GCF_000018345.1	Mycobacterium marinum M
GCF_000018365.1	Thermococcus onnurineus NA1
GCF_000018405.1	Desulfococcus oleovorans Hxd3
GCF_000018425.1	Candidatus Desulforudis audaxviator MP104C
GCF_000018465.1	Nitrosopumilus maritimus SCM1
GCF_000018605.1	Petrotoga mobilis SJ95
GCF_000018665.1	Delftia acidovorans SPH-1
GCF_000018685.1	Lachnoclostridium phytofermentans ISDg
GCF_000018785.1	Acholeplasma laidlawii PG-8A
GCF_000018885.1	Renibacterium salmoninarum ATCC 33209
GCF_000018945.1	Thermotoga neapolitana DSM 4359
GCF_000019045.1	Anoxybacillus flavithermus WK1
GCF_000019085.1	Thermoanaerobacter pseudethanolicus ATCC 33223
GCF_000019165.1	Heliobacterium modesticaldum Ice1
GCF_000019185.1	Shewanella halifaxensis HAW-EB4
GCF_000019225.1	Cellvibrio japonicus Ueda107
GCF_000019405.1	Histophilus somni 2336
GCF_000019525.1	Shewanella woodyi ATCC 51908
GCF_000019565.1	Klebsiella variicola
GCF_000019585.2	Xanthomonas oryzae pv. oryzae PXO99A
GCF_000019605.1	Candidatus Korarchaeum cryptofilum OPF8
GCF_000019665.1	Methylacidiphilum infernorum V4
GCF_000019685.1	Borrelia duttonii Ly
GCF_000019705.1	Borrelia recurrentis A1
GCF_000019725.1	Methylobacterium radiotolerans JCM 2831
GCF_000019785.1	Leptothrix cholodnii SP-6
GCF_000019805.1	Pyrobaculum neutrophilum V24Sta
GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039
GCF_000019905.1	Exiguobacterium sibiricum 255-15
GCF_000019965.1	Opitutus terrae PB90-1
GCF_000020005.1	Natranaerobius thermophilus JW/NM-WN-LF
GCF_000020025.1	Nostoc punctiforme PCC 73102
GCF_000020045.1	Paraburkholderia phymatum STM815
GCF_000020145.1	Elusimicrobium minutum Pei191
GCF_000020225.1	Akkermansia muciniphila ATCC BAA-835
GCF_000020365.1	Desulfobacterium autotrophicum HRM2
GCF_000020385.1	Geobacter lovleyi SZ
GCF_000020425.1	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088
GCF_000020465.1	Chlorobium limicola DSM 245
GCF_000020485.1	Halothermothrix orenii H 168
GCF_000020505.1	Chlorobaculum parvum NCIB 8327
GCF_000020525.1	Chloroherpeton thalassium ATCC 35110
GCF_000020565.1	Candidatus Amoebophilus asiaticus 5a2
GCF_000020625.1	Prosthecochloris aestuarii DSM 271
GCF_000020645.1	Pelodictyon phaeoclathratiforme BU-1
GCF_000020685.1	Deinococcus deserti VCD115
GCF_000020725.1	Geobacter bemidjiensis Bem
GCF_000020905.1	Desulfurococcus amylolyticus 1221n
GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265
GCF_000020965.1	Dictyoglomus thermophilum H-6-12
GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347
GCF_000021005.1	Rhodobacter sphaeroides KD131
GCF_000021025.1	Laribacter hongkongensis HLHK9
GCF_000021045.1	Azotobacter vinelandii DJ
GCF_000021285.1	Thermosipho africanus TCF52B
GCF_000021325.1	Gluconacetobacter diazotrophicus PA1 5
GCF_000021485.1	Acidithiobacillus ferrooxidans ATCC 23270
GCF_000021525.1	Rickettsia peacockii str. Rustic
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1
GCF_000021565.1	Persephonella marina EX-H1
GCF_000021645.1	Dictyoglomus turgidum DSM 6724
GCF_000021685.1	Thermomicrobium roseum DSM 5159
GCF_000021725.1	Nautilia profundicola AmH
GCF_000021745.1	Methylocella silvestris BL2
GCF_000021825.1	Gloeothece citriformis PCC 7424
GCF_000021885.1	Glaesserella parasuis SH0165
GCF_000021905.1	Desulfatibacillum aliphaticivorans
GCF_000021945.1	Chloroflexus aggregans DSM 9485
GCF_000021965.1	Methanosphaerula palustris E1-9c
GCF_000021985.1	Thioalkalivibrio sulfidiphilus HL-EbGr7
GCF_000022005.1	Caulobacter vibrioides NA1000
GCF_000022025.1	Pseudarthrobacter chlorophenolicus A6
GCF_000022065.1	Ruminiclostridium cellulolyticum H10
GCF_000022085.1	Methylobacterium nodulans ORS 2060
GCF_000022145.1	Anaeromyxobacter dehalogenans 2CP-1
GCF_000022185.1	Chloroflexus aurantiacus Y-400-fl
GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239
GCF_000022265.1	Geobacter daltonii FRC-32
GCF_000022305.1	Acidovorax ebreus TPSY
GCF_000022365.1	Thermococcus gammatolerans EJ3
GCF_000022525.1	Neorickettsia risticii str. Illinois
GCF_000022545.1	Thermococcus sibiricus MM 739
GCF_000022565.1	Acidobacterium capsulatum ATCC 51196
GCF_000022685.1	Methylorubrum extorquens AM1
GCF_000022725.1	Bartonella grahamii as4aup
GCF_000022745.1	Brucella microti CCM 4915
GCF_000022885.2	Edwardsiella ictaluri 93-146
GCF_000023005.1	Rickettsia africae ESF-5
GCF_000023025.1	Teredinibacter turnerae T7901
GCF_000023065.1	Tolumonas auensis DSM 9187
GCF_000023105.1	Beutenbergia cavernae DSM 12333
GCF_000023125.1	Dyadobacter fermentans DSM 18053
GCF_000023205.1	Micrococcus luteus NCTC 2665
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028
GCF_000023245.1	Actinosynnema mirum DSM 43827
GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331
GCF_000023325.1	Kosmotoga olearia TBF 19.5.1
GCF_000023405.1	Brachybacterium faecium DSM 4810
GCF_000023445.1	Desulfovibrio salexigens DSM 2638
GCF_000023465.1	Zunongwangia profunda SM-A87
GCF_000023545.1	Dickeya paradisiaca Ech703
GCF_000023705.1	Methylotenera mobilis JLW8
GCF_000023745.1	Methylovorus glucosetrophus SIP3-4
GCF_000023785.1	Hirschia baltica ATCC 49814
GCF_000023825.1	Pedobacter heparinus DSM 2366
GCF_000023845.1	Cryptobacterium curtum DSM 15641
GCF_000023865.1	Saccharomonospora viridis DSM 43017
GCF_000023885.1	Slackia heliotrinireducens DSM 20476
GCF_000023905.1	Leptotrichia buccalis C-1013-b
GCF_000023925.1	Kytococcus sedentarius DSM 20547
GCF_000023945.1	Halorhabdus utahensis DSM 12940
GCF_000023965.1	Halomicrobium mukohataei DSM 12286
GCF_000023985.1	Methanocaldococcus fervens AG86
GCF_000024005.1	Chitinophaga pinensis DSM 2588
GCF_000024025.1	Catenulispora acidiphila DSM 44928
GCF_000024045.1	Rippkaea orientalis PCC 8802
GCF_000024065.1	Jonesia denitrificans DSM 20603
GCF_000024085.1	Kangiella koreensis DSM 16069
GCF_000024105.1	Anaerococcus prevotii DSM 20548
GCF_000024125.1	Robiginitalea biformata HTCC2501
GCF_000024165.1	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
GCF_000024185.1	Methanobrevibacter ruminantium M1
GCF_000024205.1	Desulfofarcimen acetoxidans DSM 771
GCF_000024225.1	Atopobium parvulum DSM 20469
GCF_000024245.1	Zymomonas mobilis subsp. mobilis NCIMB 11163
GCF_000024265.1	Eggerthella lenta DSM 2243
GCF_000024325.1	Desulfohalobium retbaense DSM 5692
GCF_000024345.1	Kribbella flavida DSM 17836
GCF_000024365.1	Nakamurella multipartita DSM 44233
GCF_000024385.1	Thermomonospora curvata DSM 43183
GCF_000024405.1	Sebaldella termitidis ATCC 33386
GCF_000024425.1	Meiothermus ruber DSM 1279
GCF_000024465.1	Candidatus Puniceispirillum marinum IMCC1322
GCF_000024505.1	Anaplasma centrale str. Israel
GCF_000024545.1	Stackebrandtia nassauensis DSM 44728
GCF_000024565.1	Streptobacillus moniliformis DSM 12112
GCF_000024605.1	Ammonifex degensii KC4
GCF_000024625.1	Methanocaldococcus vulcanius M7
GCF_000024665.1	Fibrobacter succinogenes subsp. succinogenes S85
GCF_000024725.1	Nitrosococcus halophilus Nc 4
GCF_000024765.1	Halothiobacillus neapolitanus c2
GCF_000024805.1	Haliangium ochraceum DSM 14365
GCF_000024825.1	Vibrio antiquarius
GCF_000024845.1	Rhodothermus marinus DSM 4252
GCF_000024865.1	Streptosporangium roseum DSM 43021
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946
GCF_000024905.1	Thermanaerovibrio acidaminovorans DSM 6589
GCF_000024925.1	Sanguibacter keddieii DSM 10542
GCF_000024945.1	Veillonella parvula DSM 2008
GCF_000024965.1	Xylanimonas cellulosilytica DSM 15894
GCF_000024985.1	Sphaerobacter thermophilus DSM 20745
GCF_000025005.1	Thermobaculum terrenum ATCC BAA-798
GCF_000025105.1	Thermotoga naphthophila RKU-10
GCF_000025125.1	Candidatus Atelocyanobacterium thalassa isolate ALOHA
GCF_000025185.1	Pirellula staleyi DSM 6068
GCF_000025225.2	Mageeibacillus indolicus UPII9-5
GCF_000025245.2	Bifidobacterium animalis subsp. lactis BB-12
GCF_000025265.1	Conexibacter woesei DSM 14684
GCF_000025285.1	Archaeoglobus profundus DSM 5631
GCF_000025305.1	Acidaminococcus fermentans DSM 20731
GCF_000025325.1	Haloterrigena turkmenica DSM 5511
GCF_000025345.1	Geodermatophilus obscurus DSM 43160
GCF_000025405.2	Pantoea ananatis LMG 20103
GCF_000025485.1	Allochromatium vinosum DSM 180
GCF_000025505.1	Ferroglobus placidus DSM 10642
GCF_000025565.1	Enterobacter cloacae subsp. cloacae ATCC 13047
GCF_000025605.1	Thermocrinis albus DSM 14484
GCF_000025625.1	Natrialba magadii ATCC 43099
GCF_000025645.1	Thermoanaerobacter italicus Ab9
GCF_000025665.1	Aciduliprofundum boonei T469
GCF_000025685.1	Haloferax volcanii DS2
GCF_000025705.1	Sideroxydans lithotrophicus ES-1
GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809
GCF_000025845.1	Mycoplasma crocodyli MP145
GCF_000025865.1	Methanohalophilus mahii DSM 5219
GCF_000025885.1	Aminobacterium colombiense DSM 12261
GCF_000025905.1	Coraliomargarita akajimensis DSM 45221
GCF_000025925.1	Prevotella ruminicola 23
GCF_000025945.1	Desulfotalea psychrophila LSv54
GCF_000025965.1	Aromatoleum aromaticum EbN1
GCF_000026045.1	Natronomonas pharaonis DSM 2160
GCF_000026185.1	Erwinia tasmaniensis Et1/99
GCF_000026205.1	Candidatus Phytoplasma mali
GCF_000026445.2	Mycobacterium liflandii 128FXT
GCF_000027085.1	Citrobacter rodentium ICC168
GCF_000027205.1	Erwinia amylovora ATCC 49946
GCF_000027325.1	Mycoplasma genitalium G37
GCF_000027345.1	Mycoplasma pneumoniae M129
GCF_000046685.1	Bartonella quintana str. Toulouse
GCF_000055785.1	Chromohalobacter salexigens DSM 3043
GCF_000058485.1	Frankia alni ACN14a
GCF_000060345.1	Gramella forsetii KT0803
GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338
GCF_000063445.1	Methanocella arvoryzae MRE50
GCF_000063585.1	Clostridium botulinum A str. ATCC 3502
GCF_000067165.1	Sorangium cellulosum So ce56
GCF_000067205.1	Bordetella petrii
GCF_000069225.1	Clavibacter michiganensis subsp. sepedonicus
GCF_000069965.1	Proteus mirabilis HI4320
GCF_000072485.1	Stenotrophomonas maltophilia K279a
GCF_000073005.1	Wolbachia endosymbiont of Culex quinquefasciatus Pel
GCF_000090405.2	Salinibacter ruber M8
GCF_000091125.1	Sphingobium japonicum UT26S
GCF_000091325.1	Shewanella violacea DSS12
GCF_000091465.1	Vibrio atlanticus
GCF_000091545.1	Thermus thermophilus HB8
GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661
GCF_000092025.1	Agrobacterium fabrum str. C58
GCF_000092105.1	Planctopirus limnophila DSM 3776
GCF_000092125.1	Meiothermus silvanus DSM 9946
GCF_000092185.1	Thermosphaera aggregans DSM 11486
GCF_000092205.1	Desulfurivibrio alkaliphilus AHT 2
GCF_000092225.1	Tsukamurella paurometabola DSM 20162
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299
GCF_000092265.1	Moraxella catarrhalis BBH18
GCF_000092305.1	Methanocaldococcus infernus ME
GCF_000092365.1	Arcanobacterium haemolyticum DSM 20595
GCF_000092385.1	Streptomyces bingchenggensis BCW-1
GCF_000092405.1	Syntrophothermus lipocalidus DSM 12680
GCF_000092425.1	Truepera radiovictrix DSM 17093
GCF_000092465.1	Staphylothermus hellenicus DSM 12710
GCF_000092505.1	Leuconostoc kimchii IMSNU 11154
GCF_000092565.1	Leptospira interrogans serovar Lai str. 56601
GCF_000092605.1	Thiomonas intermedia K12
GCF_000092645.1	Thermobispora bispora DSM 43833
GCF_000092785.1	Waddlia chondrophila WSU 86-1044
GCF_000092825.1	Segniliparus rotundus DSM 44985
GCF_000092845.1	Brachyspira murdochii DSM 12563
GCF_000092865.1	Cellulomonas flavigena DSM 20109
GCF_000092905.1	Kyrpidia tusciae DSM 2912
GCF_000092925.1	Starkeya novella DSM 506
GCF_000092945.1	Thermincola potens JR
GCF_000092965.1	Thermoanaerobacter mathranii subsp. mathranii str. A3
GCF_000093025.1	Methylotenera versatilis 301
GCF_000093065.1	Candidatus Riesia pediculicola USDA
GCF_000093145.3	Comamonas thiooxydans
GCF_000143085.1	Nitrosococcus watsonii C-113
GCF_000143165.1	Dehalogenimonas lykanthroporepellens BL-DC-9
GCF_000143225.1	Herbaspirillum seropedicae SmR1
GCF_000143685.1	Clostridium ljungdahlii DSM 13528
GCF_000143825.1	Corynebacterium genitalium ATCC 33030
GCF_000143845.1	Olsenella uli DSM 7084
GCF_000143965.1	Desulfarculus baarsii DSM 2075
GCF_000143985.1	Sediminispirochaeta smaragdinae DSM 11293
GCF_000144605.1	Brevundimonas subvibrioides ATCC 15264
GCF_000144625.1	[Clostridium] saccharolyticum WM1
GCF_000144645.1	Thermosediminibacter oceani DSM 16646
GCF_000144695.1	Acetohalobium arabaticum DSM 5501
GCF_000144915.1	Acidilobus saccharovorans 345-15
GCF_000145035.1	Butyrivibrio proteoclasticus B316
